INDEX	CODE	SHORT OPENING	OPENING	ORG		
1	C20	Alapin		Alapin's Opening		1. e4 e5 2. Ne2
2	B02	Alekhine		Alekhine's defense		1. e4 Nf6
3	B02	Alekhine		Alekhine's defense	Scandinavian Variation 	1. e4 Nf6 2. Nc3 d5
4	B02	Alekhine		Alekhine's defense	Spielmann Variation 	1. e4 Nf6 2. Nc3 d5 3. e5 Nfd7 4. e6
5	B02	Alekhine		Alekhine's defense	Maroczy Variation 	1. e4 Nf6 2. d3
6	B02	Alekhine		Alekhine's defense	Krejcik Variation 	1. e4 Nf6 2. Bc4
7	B02	Alekhine		Alekhine's defense	Mokele Mbembe (Buecker) Variation 	1. e4 Nf6 2. e5 Ne4
8	B02	Alekhine		Alekhine's defense	Brooklyn defense	1. e4 Nf6 2. e5 Ng8
9	B02	Alekhine		Alekhine's defense		1. e4 Nf6 2. e5 Nd5
10	B02	Alekhine		Alekhine's defense	Kmoch Variation 	1. e4 Nf6 2. e5 Nd5 3. Bc4 Nb6 4. Bb3 c5 5. d3
11	B02	Alekhine		Alekhine's defense	Saemisch attack	1. e4 Nf6 2. e5 Nd5 3. Nc3
12	B02	Alekhine		Alekhine's defense	Welling Variation 	1. e4 Nf6 2. e5 Nd5 3. b3
13	B02	Alekhine		Alekhine's defense		1. e4 Nf6 2. e5 Nd5 3. c4
14	B02	Alekhine		Alekhine's defense	Steiner Variation 	1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. b3
15	B02	Alekhine		Alekhine's defense	Two pawns' (Lasker's) attack	1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5
16	B02	Alekhine		Alekhine's defense	Two pawns' attack, Mikenas Variation 	1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3 d6
17	B03	Alekhine		Alekhine's defense		1. e4 Nf6 2. e5 Nd5 3. d4
18	B03	Alekhine		Alekhine's defense	O'Sullivan gambit	1. e4 Nf6 2. e5 Nd5 3. d4 b5
19	B03	Alekhine		Alekhine's defense		1. e4 Nf6 2. e5 Nd5 3. d4 d6
20	B03	Alekhine		Alekhine's defense	Balogh Variation 	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Bc4
21	B03	Alekhine		Alekhine's defense		1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4
22	B03	Alekhine		Alekhine's defense	Exchange Variation 	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6
23	B03	Alekhine		Alekhine's defense	Exchange, Karpov Variation 	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6 cxd6 6. Nf3 g6 7. Be2 Bg7 8. O-O O-O 9. h3 Nc6 10. Nc3 Bf5 11. Bf4
24	B03	Alekhine		Alekhine's defense	Four pawns attack	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4
25	B03	Alekhine		Alekhine's defense	Four pawns attack, Korchnoi Variation 	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Nf3 Be7 9. Be2 O-O 10. O-O f6
26	B03	Alekhine		Alekhine's defense	Four pawns attack, 6...Nc6	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6
27	B03	Alekhine		Alekhine's defense	Four pawns attack, Ilyin-Genevsky var.	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Nf3 Bg4 8. e6 fxe6 9. c5
28	B03	Alekhine		Alekhine's defense	Four pawns attack, 7.Be3	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3
29	B03	Alekhine		Alekhine's defense	Four pawns attack, Tartakower Variation 	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nc3 e6 9. Nf3 Qd7 10. Be2 O-O-O 11. O-O Be7
30	B03	Alekhine		Alekhine's defense	Four pawns attack, Planinc Variation 	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g5
31	B03	Alekhine		Alekhine's defense	Four pawns attack, Fianchetto Variation 	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6
32	B03	Alekhine		Alekhine's defense	Four pawns attack, Trifunovic Variation 	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 Bf5
33	B04	Alekhine		Alekhine's defense	Modern Variation 	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3
34	B04	Alekhine		Alekhine's defense	Modern, Larsen Variation 	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 dxe5
35	B04	Alekhine		Alekhine's defense	Modern, Schmid Variation 	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Nb6
36	B04	Alekhine		Alekhine's defense	Modern, Fianchetto Variation 	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 g6
37	B04	Alekhine		Alekhine's defense	Modern, Keres Variation 	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 g6 5. Bc4 Nb6 6. Bb3 Bg7 7. a4
38	B05	Alekhine		Alekhine's defense	Modern Variation , 4...Bg4	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4
39	B05	Alekhine		Alekhine's defense	Modern, Flohr Variation 	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. Be2 c6
40	B05	Alekhine		Alekhine's defense	Modern, Panov Variation 	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. h3
41	B05	Alekhine		Alekhine's defense	Modern, Alekhine Variation 	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. c4
42	B05	Alekhine		Alekhine's defense	Modern, Vitolins attack	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. c4 Nb6 6. d5
43	A00	Amar		Amar (Paris) Opening		1. Nh3
44	A00	Amar		Amar gambit		1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4
45	A00	Amsterdam		Amsterdam attack		1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6
46	A00	Anderssen		Anderssen's Opening		1. a3
47	A00	Anti-Borg		Anti-Borg (Desprez) Opening		1. h4
48	B00	Barnes		Barnes defense		1. e4 f6
49	A00	Battambang		Battambang Opening		1. Nc3 e5 2. a3
50	A40	Beefeater		Beefeater defense		1. d4 g6 2. c4 Bg7 3. Nc3 c5 4. d5 Bxc3+ 5. bxc3 f5
51	A00	Benko		Benko's Opening		1. g3
52	A00	Benko		Benko's Opening	reversed Alekhine	1. g3 e5 2. Nf3
53	A57	Benko		Benko gambit		1. d4 Nf6 2. c4 c5 3. d5 b5
54	A57	Benko		Benko gambit half accepted		1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6
55	A57	Benko		Benko gambit	Zaitsev system	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3
56	A57	Benko		Benko gambit	Nescafe Frappe attack	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3 axb5 6. e4 b4 7. Nb5 d6 8. Bc4
57	A58	Benko		Benko gambit accepted		1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6
58	A58	Benko		Benko gambit	Nd2 Variation 	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. Nf3 g6 8. Nd2
59	A58	Benko		Benko gambit	Fianchetto Variation 	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. Nf3 g6 8. g3
60	A59	Benko		Benko gambit	70000	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. e4
61	A59	Benko		Benko gambit	Ne2 Variation 	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. e4 Bxf1 8. Kxf1 g6 9. Nge2
62	A59	Benko		Benko gambit		1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. e4 Bxf1 8. Kxf1 g6 9. g3
63	A59	Benko		Benko gambit	Main line	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. e4 Bxf1 8. Kxf1 g6 9. g3 Bg7 10. Kg2 O-O 11. Nf3
64	A56	Benoni		Benoni defense		1. d4 Nf6 2. c4 c5
65	A56	Benoni		Benoni defense, Hromodka system		1. d4 Nf6 2. c4 c5 3. d5 d6
66	A60	Benoni		Benoni defense		1. d4 Nf6 2. c4 c5 3. d5 e6
67	A61	Benoni		Benoni defense		1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6
68	A61	Benoni		Benoni	Uhlmann Variation 	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. Bg5
69	A61	Benoni		Benoni	Nimzovich (knight's tour) Variation 	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. Nd2
70	A61	Benoni		Benoni	Fianchetto Variation 	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. g3
71	A62	Benoni		Benoni	Fianchetto Variation 	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. g3 Bg7 8. Bg2 O-O
72	A63	Benoni		Benoni	Fianchetto, 9...Nbd7	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. g3 Bg7 8. Bg2 O-O 9. O-O Nbd7
73	A64	Benoni		Benoni	Fianchetto, 11...Re8	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. g3 Bg7 8. Bg2 O-O 9. O-O Nbd7 10. Nd2 a6 11. a4 Re8
74	A65	Benoni		Benoni	60000	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4
75	A66	Benoni		Benoni	pawn storm Variation 	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4
