A00	Polish	Polish (Sokolsky) opening		1. b4
A00	Polish	Polish	Tuebingen Variation 	1. b4 Nh6
A00	Polish	Polish	Outflank Variation 	1. b4 c6
A00	Benko	Benko's Opening		1. g3
A00	Lasker	Lasker simul special		1. g3 h5
A00	Benko	Benko's Opening	reversed Alekhine	1. g3 e5 2. Nf3
A00	Grob	Grob's attack		1. g4
A00	Grob	Grob	Spike attack	1. g4 d5 2. Bg2 c6 3. g5
A00	Grob	Grob	Fritz gambit	1. g4 d5 2. Bg2 Bxg4 3. c4
A00	Grob	Grob	Romford counter-gambit	1. g4 d5 2. Bg2 Bxg4 3. c4 d4
A00	Clemenz (Mead's, Basman's or de Klerk's) Opening	Clemenz (Mead's, Basman's or de Klerk's) Opening		1. h3
A00	Global Opening	Global Opening		1. h3 e5 2. a3
A00	Amar (Paris) Opening	Amar (Paris) Opening		1. Nh3
A00	Amar gambit	Amar gambit		1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4
A00	Dunst (Sleipner, Heinrichsen) Opening	Dunst (Sleipner, Heinrichsen) Opening		1. Nc3
A00	Dunst (Sleipner, Heinrichsen) Opening	Dunst (Sleipner, Heinrichsen) Opening		1. Nc3 e5
A00	Battambang	Battambang Opening		1. Nc3 e5 2. a3
A00	Novosibirsk	Novosibirsk Opening		1. Nc3 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qh4
A00	Anderssen's	Anderssen's Opening		1. a3
A00	Ware (Meadow Hay)	Ware (Meadow Hay) Opening		1. a4
A00	Crab	Crab Opening		1. a4 e5 2. h4
A00	Saragossa	Saragossa Opening		1. c3
A00	Mieses	Mieses Opening		1. d3
A00	Mieses	Mieses Opening		1. d3 e5
A00	Valencia	Valencia Opening		1. d3 e5 2. Nd2
A00	Venezolana	Venezolana Opening		1. d3 c5 2. Nc3 Nc6 3. g3
A00	Van't Kruijs	Van't Kruijs Opening		1. e3
A00	Amsterdam	Amsterdam attack		1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6
A00	Gedult's	Gedult's Opening		1. f3
A00	Hammerschlag	Hammerschlag (Fried fox/Pork chop Opening)		1. f3 e5 2. Kf2
A00	Anti-Borg (Desprez)	Anti-Borg (Desprez) Opening		1. h4
A00	Durkin's	Durkin's attack		1. Na3
A01	Nimzovich-Larsen	Nimzovich-Larsen attack		1. b3
A01	Nimzovich-Larsen	Nimzovich-Larsen attack	Modern Variation 	1. b3 e5
A01	Nimzovich-Larsen	Nimzovich-Larsen attack	Indian Variation 	1. b3 Nf6
A01	Nimzovich-Larsen	Nimzovich-Larsen attack	Classical Variation 	1. b3 d5
A01	Nimzovich-Larsen	Nimzovich-Larsen attack	English Variation 	1. b3 c5
A01	Nimzovich-Larsen	Nimzovich-Larsen attack	Dutch Variation 	1. b3 f5
A01	Nimzovich-Larsen	Nimzovich-Larsen attack	Polish Variation 	1. b3 b5
A01	Nimzovich-Larsen	Nimzovich-Larsen attack	Symmetrical Variation 	1. b3 b6
A02	Bird	Bird's Opening		1. f4
A02	Bird	Bird	From gambit	1. f4 e5
A02	Bird	Bird	From gambit, Lasker Variation 	1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 g5
A02	Bird	Bird	From gambit, Lipke Variation 	1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 Nh6 5. d4
A02	Bird	Bird's Opening, Swiss gambit		1. f4 f5 2. e4 fxe4 3. Nc3 Nf6 4. g4
A02	Bird	Bird	Hobbs gambit	1. f4 g5
A03	Bird	Bird's Opening		1. f4 d5
A03	Mujannah	Mujannah Opening		1. f4 d5 2. c4
A03	Bird	Bird's Opening	Williams gambit	1. f4 d5 2. e4
A03	Bird	Bird's Opening	Lasker Variation 	1. f4 d5 2. Nf3 Nf6 3. e3 c5
A04	Reti	Reti Opening		1. Nf3
A04	Reti	Reti v Dutch		1. Nf3 f5
A04	Reti	Reti	Pirc-Lisitsin gambit	1. Nf3 f5 2. e4
A04	Reti	Reti	Lisitsin gambit deferred	1. Nf3 f5 2. d3 Nf6 3. e4
A04	Reti	Reti Opening		1. Nf3 d6
A04	Reti	Reti	Wade defense	1. Nf3 d6 2. e4 Bg4
A04	Reti	Reti	Herrstroem gambit	1. Nf3 g5
A05	Reti	Reti Opening		1. Nf3 Nf6
A05	Reti	Reti	King's Indian attack, Spassky's Variation 	1. Nf3 Nf6 2. g3 b5
A05	Reti	Reti	King's Indian attack	1. Nf3 Nf6 2. g3 g6
A05	Reti	Reti	King's Indian attack, Reti-Smyslov Variation 	1. Nf3 Nf6 2. g3 g6 3. b4
A06	Reti	Reti Opening		1. Nf3 d5
A06	Reti	Reti	Old Indian attack	1. Nf3 d5 2. d3
A06	Santasiere's folly	Santasiere's folly		1. Nf3 d5 2. b4
A06	Tennison	Tennison (Lemberg, Zukertort) gambit		1. Nf3 d5 2. e4
A06	Reti	Reti	Nimzovich-Larsen attack	1. Nf3 d5 2. b3
A07	Reti	Reti	King's Indian attack (Barcza system)	1. Nf3 d5 2. g3
A07	Reti	Reti	King's Indian attack, Yugoslav Variation 	1. Nf3 d5 2. g3 Nf6 3. Bg2 c6 4. O-O Bg4
A07	Reti	Reti	King's Indian attack, Keres Variation 	1. Nf3 d5 2. g3 Bg4 3. Bg2 Nd7
A07	Reti	Reti	King's Indian attack	1. Nf3 d5 2. g3 g6
A07	Reti	Reti	King's Indian attack, Pachman system	1. Nf3 d5 2. g3 g6 3. Bg2 Bg7 4. O-O e5 5. d3 Ne7
A07	Reti	Reti	King's Indian attack (with ...c5)	1. Nf3 d5 2. g3 c5
A08	Reti	Reti	King's Indian attack	1. Nf3 d5 2. g3 c5 3. Bg2
A08	Reti	Reti	King's Indian attack, French Variation 	1. Nf3 d5 2. g3 c5 3. Bg2 Nc6 4. O-O e6 5. d3 Nf6 6. Nbd2 Be7 7. e4 O-O 8. Re1
A09	Reti	Reti Opening		1. Nf3 d5 2. c4
A09	Reti	Reti	Advance Variation 	1. Nf3 d5 2. c4 d4
A09	Reti	Reti accepted		1. Nf3 d5 2. c4 dxc4
A09	Reti	Reti accepted	Keres Variation 	1. Nf3 d5 2. c4 dxc4 3. e3 Be6
A10	English	English Opening		1. c4
A10	English	English Opening		1. c4 g6
A10	English	English	Adorjan defense	1. c4 g6 2. e4 e5
A10	English	English	Jaenisch gambit	1. c4 b5
A10	English	English	Anglo-Dutch defense	1. c4 f5
A11	English	English	Caro-Kann defensive system	1. c4 c6
A12	English	English	Caro-Kann defensive system	1. c4 c6 2. Nf3 d5 3. b3
