A00	Polish (Sokolsky) opening		1. b4
A00	Polish	Tuebingen Variation 	1. b4 Nh6
A00	Polish	Outflank Variation 	1. b4 c6
A00	Benko's Opening		1. g3
A00	Lasker simul special		1. g3 h5
A00	Benko's Opening	reversed Alekhine	1. g3 e5 2. Nf3
A00	Grob's attack		1. g4
A00	Grob	Spike attack	1. g4 d5 2. Bg2 c6 3. g5
A00	Grob	Fritz gambit	1. g4 d5 2. Bg2 Bxg4 3. c4
A00	Grob	Romford counter-gambit	1. g4 d5 2. Bg2 Bxg4 3. c4 d4
A00	Clemenz (Mead's, Basman's or de Klerk's) Opening		1. h3
A00	Global Opening		1. h3 e5 2. a3
A00	Amar (Paris) Opening		1. Nh3
A00	Amar gambit		1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4
A00	Dunst (Sleipner, Heinrichsen) Opening		1. Nc3
A00	Dunst (Sleipner,Heinrichsen) Opening		1. Nc3 e5
A00	Battambang Opening		1. Nc3 e5 2. a3
A00	Novosibirsk Opening		1. Nc3 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qh4
A00	Anderssen's Opening		1. a3
A00	Ware (Meadow Hay) Opening		1. a4
A00	Crab Opening		1. a4 e5 2. h4
A00	Saragossa Opening		1. c3
A00	Mieses Opening		1. d3
A00	Mieses Opening		1. d3 e5
A00	Valencia Opening		1. d3 e5 2. Nd2
A00	Venezolana Opening		1. d3 c5 2. Nc3 Nc6 3. g3
A00	Van't Kruijs Opening		1. e3
A00	Amsterdam attack		1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6
A00	Gedult's Opening		1. f3
A00	Hammerschlag (Fried fox/Pork chop Opening)		1. f3 e5 2. Kf2
A00	Anti-Borg (Desprez) Opening		1. h4
A00	Durkin's attack		1. Na3
A01	Nimzovich-Larsen attack		1. b3
A01	Nimzovich-Larsen attack	Modern Variation 	1. b3 e5
A01	Nimzovich-Larsen attack	Indian Variation 	1. b3 Nf6
A01	Nimzovich-Larsen attack	Classical Variation 	1. b3 d5
A01	Nimzovich-Larsen attack	English Variation 	1. b3 c5
A01	Nimzovich-Larsen attack	Dutch Variation 	1. b3 f5
A01	Nimzovich-Larsen attack	Polish Variation 	1. b3 b5
A01	Nimzovich-Larsen attack	Symmetrical Variation 	1. b3 b6
A02	Bird's Opening		1. f4
A02	Bird	From gambit	1. f4 e5
A02	Bird	From gambit, Lasker Variation 	1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 g5
A02	Bird	From gambit, Lipke Variation 	1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 Nh6 5. d4
A02	Bird's Opening, Swiss gambit		1. f4 f5 2. e4 fxe4 3. Nc3 Nf6 4. g4
A02	Bird	Hobbs gambit	1. f4 g5
A03	Bird's Opening		1. f4 d5
A03	Mujannah Opening		1. f4 d5 2. c4
A03	Bird's Opening	Williams gambit	1. f4 d5 2. e4
A03	Bird's Opening	Lasker Variation 	1. f4 d5 2. Nf3 Nf6 3. e3 c5
A04	Reti Opening		1. Nf3
A04	Reti v Dutch		1. Nf3 f5
A04	Reti	Pirc-Lisitsin gambit	1. Nf3 f5 2. e4
A04	Reti	Lisitsin gambit deferred	1. Nf3 f5 2. d3 Nf6 3. e4
A04	Reti Opening		1. Nf3 d6
A04	Reti	Wade defense	1. Nf3 d6 2. e4 Bg4
A04	Reti	Herrstroem gambit	1. Nf3 g5
A05	Reti Opening		1. Nf3 Nf6
A05	Reti	King's Indian attack, Spassky's Variation 	1. Nf3 Nf6 2. g3 b5
A05	Reti	King's Indian attack	1. Nf3 Nf6 2. g3 g6
A05	Reti	King's Indian attack, Reti-Smyslov Variation 	1. Nf3 Nf6 2. g3 g6 3. b4
A06	Reti Opening		1. Nf3 d5
A06	Reti	Old Indian attack	1. Nf3 d5 2. d3
A06	Santasiere's folly		1. Nf3 d5 2. b4
A06	Tennison (Lemberg, Zukertort) gambit		1. Nf3 d5 2. e4
A06	Reti	Nimzovich-Larsen attack	1. Nf3 d5 2. b3
A07	Reti	King's Indian attack (Barcza system)	1. Nf3 d5 2. g3
A07	Reti	King's Indian attack, Yugoslav Variation 	1. Nf3 d5 2. g3 Nf6 3. Bg2 c6 4. O-O Bg4
A07	Reti	King's Indian attack, Keres Variation 	1. Nf3 d5 2. g3 Bg4 3. Bg2 Nd7
A07	Reti	King's Indian attack	1. Nf3 d5 2. g3 g6
A07	Reti	King's Indian attack, Pachman system	1. Nf3 d5 2. g3 g6 3. Bg2 Bg7 4. O-O e5 5. d3 Ne7
A07	Reti	King's Indian attack (with ...c5)	1. Nf3 d5 2. g3 c5
A08	Reti	King's Indian attack	1. Nf3 d5 2. g3 c5 3. Bg2
A08	Reti	King's Indian attack, French Variation 	1. Nf3 d5 2. g3 c5 3. Bg2 Nc6 4. O-O e6 5. d3 Nf6 6. Nbd2 Be7 7. e4 O-O 8. Re1
A09	Reti Opening		1. Nf3 d5 2. c4
A09	Reti	Advance Variation 	1. Nf3 d5 2. c4 d4
A09	Reti accepted		1. Nf3 d5 2. c4 dxc4
A09	Reti accepted	Keres Variation 	1. Nf3 d5 2. c4 dxc4 3. e3 Be6
A10	English Opening		1. c4
A10	English Opening		1. c4 g6
A10	English	Adorjan defense	1. c4 g6 2. e4 e5
A10	English	Jaenisch gambit	1. c4 b5
A10	English	Anglo-Dutch defense	1. c4 f5
A11	English	Caro-Kann defensive system	1. c4 c6
A12	English	Caro-Kann defensive system	1. c4 c6 2. Nf3 d5 3. b3
A12	English	Torre defensive system	1. c4 c6 2. Nf3 d5 3. b3 Nf6 4. g3 Bg4
A12	English	London defensive system	1. c4 c6 2. Nf3 d5 3. b3 Nf6 4. g3 Bf5
A12	English	Caro-Kann defensive system	1. c4 c6 2. Nf3 d5 3. b3 Nf6 4. Bb2
A12	English	Bled Variation 	1. c4 c6 2. Nf3 d5 3. b3 Nf6 4. Bb2 g6
A12	English	New York (London) defensive system	1. c4 c6 2. Nf3 d5 3. b3 Nf6 4. Bb2 Bf5
A12	English	Capablanca's Variation 	1. c4 c6 2. Nf3 d5 3. b3 Nf6 4. Bb2 Bg4
A12	English	Caro-Kann defensive system, Bogolyubov Variation 	1. c4 c6 2. Nf3 d5 3. b3 Bg4
A13	English Opening		1. c4 e6
A13	English	Romanishin gambit	1. c4 e6 2. Nf3 Nf6 3. g3 a6 4. Bg2 b5
A13	English Opening	Agincourt Variation 	1. c4 e6 2. Nf3 d5
A13	English	Wimpey system	1. c4 e6 2. Nf3 d5 3. b3 Nf6 4. Bb2 c5 5. e3
A13	English Opening	Agincourt Variation 	1. c4 e6 2. Nf3 d5 3. g3
A13	English	Kurajica defense	1. c4 e6 2. Nf3 d5 3. g3 c6
A13	English	Neo-Catalan	1. c4 e6 2. Nf3 d5 3. g3 Nf6
A13	English	Neo-Catalan accepted	1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 dxc4
A14	English	Neo-Catalan declined	1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 Be7 5. O-O
A14	English	Symmetrical, Keres defense	1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 Be7 5. O-O c5 6. cxd5 Nxd5 7. Nc3 Nc6
A15	English, 1...Nf6 (Anglo-Indian defense)		1. c4 Nf6
A15	English orang-utan		1. c4 Nf6 2. b4
A15	English Opening		1. c4 Nf6 2. Nf3
A16	English Opening		1. c4 Nf6 2. Nc3
A16	English	Anglo-Gruenfeld defense	1. c4 Nf6 2. Nc3 d5
